"Country","Variable","Variant","Year","Value"
"China","Population (thousands)","Medium variant","1950",550771
"China","Population (thousands)","High variant","1950",550771
"China","Population (thousands)","Low variant","1950",550771
"China","Population (thousands)","Constant-fertility variant","1950",550771
"China","Population (thousands)","Medium variant","1955",608360
"China","Population (thousands)","High variant","1955",608360
"China","Population (thousands)","Low variant","1955",608360
"China","Population (thousands)","Constant-fertility variant","1955",608360
"China","Population (thousands)","Medium variant","1960",658270
"China","Population (thousands)","High variant","1960",658270
"China","Population (thousands)","Low variant","1960",658270
"China","Population (thousands)","Constant-fertility variant","1960",658270
"China","Population (thousands)","Medium variant","1965",710290
"China","Population (thousands)","High variant","1965",710290
"China","Population (thousands)","Low variant","1965",710290
"China","Population (thousands)","Constant-fertility variant","1965",710290
"China","Population (thousands)","Medium variant","1970",814623
"China","Population (thousands)","High variant","1970",814623
"China","Population (thousands)","Low variant","1970",814623
"China","Population (thousands)","Constant-fertility variant","1970",814623
"China","Population (thousands)","Medium variant","1975",915041
"China","Population (thousands)","High variant","1975",915041
"China","Population (thousands)","Low variant","1975",915041
"China","Population (thousands)","Constant-fertility variant","1975",915041
"China","Population (thousands)","Medium variant","1980",983171
"China","Population (thousands)","High variant","1980",983171
"China","Population (thousands)","Low variant","1980",983171
"China","Population (thousands)","Constant-fertility variant","1980",983171
"China","Population (thousands)","Medium variant","1985",1056579
"China","Population (thousands)","High variant","1985",1056579
"China","Population (thousands)","Low variant","1985",1056579
"China","Population (thousands)","Constant-fertility variant","1985",1056579
"China","Population (thousands)","Medium variant","1990",1145195
"China","Population (thousands)","High variant","1990",1145195
"China","Population (thousands)","Low variant","1990",1145195
"China","Population (thousands)","Constant-fertility variant","1990",1145195
"China","Population (thousands)","Medium variant","1995",1213987
"China","Population (thousands)","High variant","1995",1213987
"China","Population (thousands)","Low variant","1995",1213987
"China","Population (thousands)","Constant-fertility variant","1995",1213987
"China","Population (thousands)","Medium variant","2000",1269117
"China","Population (thousands)","High variant","2000",1269117
"China","Population (thousands)","Low variant","2000",1269117
"China","Population (thousands)","Constant-fertility variant","2000",1269117
"China","Population (thousands)","Medium variant","2005",1307593
"China","Population (thousands)","High variant","2005",1307593
"China","Population (thousands)","Low variant","2005",1307593
"China","Population (thousands)","Constant-fertility variant","2005",1307593
"China","Population (thousands)","Medium variant","2010",1341335
"China","Population (thousands)","High variant","2010",1341335
"China","Population (thousands)","Low variant","2010",1341335
"China","Population (thousands)","Constant-fertility variant","2010",1341335
"China","Population (thousands)","Medium variant","2015",1369743
"China","Population (thousands)","High variant","2015",1382444
"China","Population (thousands)","Low variant","2015",1357041
"China","Population (thousands)","Constant-fertility variant","2015",1373992
"China","Population (thousands)","Medium variant","2020",1387792
"China","Population (thousands)","High variant","2020",1419761
"China","Population (thousands)","Low variant","2020",1355822
"China","Population (thousands)","Constant-fertility variant","2020",1398165
"China","Population (thousands)","Medium variant","2025",1395256
"China","Population (thousands)","High variant","2025",1449235
"China","Population (thousands)","Low variant","2025",1341278
"China","Population (thousands)","Constant-fertility variant","2025",1409204
"China","Population (thousands)","Medium variant","2030",1393076
"China","Population (thousands)","High variant","2030",1467433
"China","Population (thousands)","Low variant","2030",1318826
"China","Population (thousands)","Constant-fertility variant","2030",1407092
"China","Population (thousands)","Medium variant","2035",1381588
"China","Population (thousands)","High variant","2035",1477331
"China","Population (thousands)","Low variant","2035",1287169
"China","Population (thousands)","Constant-fertility variant","2035",1394450
"China","Population (thousands)","Medium variant","2040",1360906
"China","Population (thousands)","High variant","2040",1481942
"China","Population (thousands)","Low variant","2040",1244685
"China","Population (thousands)","Constant-fertility variant","2040",1373103
"China","Population (thousands)","Medium variant","2045",1331768
"China","Population (thousands)","High variant","2045",1482486
"China","Population (thousands)","Low variant","2045",1191720
"China","Population (thousands)","Constant-fertility variant","2045",1342858
"China","Population (thousands)","Medium variant","2050",1295604
"China","Population (thousands)","High variant","2050",1479310
"China","Population (thousands)","Low variant","2050",1130211
"China","Population (thousands)","Constant-fertility variant","2050",1303424
"China","Population (thousands)","Medium variant","2055",1254854
"China","Population (thousands)","High variant","2055",1473806
"China","Population (thousands)","Low variant","2055",1063221
"China","Population (thousands)","Constant-fertility variant","2055",1256896
"China","Population (thousands)","Medium variant","2060",1211538
"China","Population (thousands)","High variant","2060",1467737
"China","Population (thousands)","Low variant","2060",993144
"China","Population (thousands)","Constant-fertility variant","2060",1206285
"China","Population (thousands)","Medium variant","2065",1167887
"China","Population (thousands)","High variant","2065",1463686
"China","Population (thousands)","Low variant","2065",922327
"China","Population (thousands)","Constant-fertility variant","2065",1154596
"China","Population (thousands)","Medium variant","2070",1125903
"China","Population (thousands)","High variant","2070",1464195
"China","Population (thousands)","Low variant","2070",852695
"China","Population (thousands)","Constant-fertility variant","2070",1103548
"China","Population (thousands)","Medium variant","2075",1085948
"China","Population (thousands)","High variant","2075",1469897
"China","Population (thousands)","Low variant","2075",784591
"China","Population (thousands)","Constant-fertility variant","2075",1052846
"China","Population (thousands)","Medium variant","2080",1048132
"China","Population (thousands)","High variant","2080",1480767
"China","Population (thousands)","Low variant","2080",718298
"China","Population (thousands)","Constant-fertility variant","2080",1002306
"China","Population (thousands)","Medium variant","2085",1013763
"China","Population (thousands)","High variant","2085",1497562
"China","Population (thousands)","Low variant","2085",655602
"China","Population (thousands)","Constant-fertility variant","2085",953525
"China","Population (thousands)","Medium variant","2090",984547
"China","Population (thousands)","High variant","2090",1521329
"China","Population (thousands)","Low variant","2090",598875
"China","Population (thousands)","Constant-fertility variant","2090",908481
"China","Population (thousands)","Medium variant","2095",960579
"China","Population (thousands)","High variant","2095",1551529
"China","Population (thousands)","Low variant","2095",549008
"China","Population (thousands)","Constant-fertility variant","2095",867161
"China","Population (thousands)","Medium variant","2100",941042
"China","Population (thousands)","High variant","2100",1586939
"China","Population (thousands)","Low variant","2100",505842
"China","Population (thousands)","Constant-fertility variant","2100",828495
"Germany","Population (thousands)","Medium variant","1950",68376
"Germany","Population (thousands)","High variant","1950",68376
"Germany","Population (thousands)","Low variant","1950",68376
"Germany","Population (thousands)","Constant-fertility variant","1950",68376
"Germany","Population (thousands)","Medium variant","1955",70326
"Germany","Population (thousands)","High variant","1955",70326
"Germany","Population (thousands)","Low variant","1955",70326
"Germany","Population (thousands)","Constant-fertility variant","1955",70326
"Germany","Population (thousands)","Medium variant","1960",72815
"Germany","Population (thousands)","High variant","1960",72815
"Germany","Population (thousands)","Low variant","1960",72815
"Germany","Population (thousands)","Constant-fertility variant","1960",72815
"Germany","Population (thousands)","Medium variant","1965",75964
"Germany","Population (thousands)","High variant","1965",75964
"Germany","Population (thousands)","Low variant","1965",75964
"Germany","Population (thousands)","Constant-fertility variant","1965",75964
"Germany","Population (thousands)","Medium variant","1970",78169
"Germany","Population (thousands)","High variant","1970",78169
"Germany","Population (thousands)","Low variant","1970",78169
"Germany","Population (thousands)","Constant-fertility variant","1970",78169
"Germany","Population (thousands)","Medium variant","1975",78674
"Germany","Population (thousands)","High variant","1975",78674
"Germany","Population (thousands)","Low variant","1975",78674
"Germany","Population (thousands)","Constant-fertility variant","1975",78674
"Germany","Population (thousands)","Medium variant","1980",78289
"Germany","Population (thousands)","High variant","1980",78289
"Germany","Population (thousands)","Low variant","1980",78289
"Germany","Population (thousands)","Constant-fertility variant","1980",78289
"Germany","Population (thousands)","Medium variant","1985",77685
"Germany","Population (thousands)","High variant","1985",77685
"Germany","Population (thousands)","Low variant","1985",77685
"Germany","Population (thousands)","Constant-fertility variant","1985",77685
"Germany","Population (thousands)","Medium variant","1990",79098
"Germany","Population (thousands)","High variant","1990",79098
"Germany","Population (thousands)","Low variant","1990",79098
"Germany","Population (thousands)","Constant-fertility variant","1990",79098
"Germany","Population (thousands)","Medium variant","1995",81929
"Germany","Population (thousands)","High variant","1995",81929
"Germany","Population (thousands)","Low variant","1995",81929
"Germany","Population (thousands)","Constant-fertility variant","1995",81929
"Germany","Population (thousands)","Medium variant","2000",82349
"Germany","Population (thousands)","High variant","2000",82349
"Germany","Population (thousands)","Low variant","2000",82349
"Germany","Population (thousands)","Constant-fertility variant","2000",82349
"Germany","Population (thousands)","Medium variant","2005",82541
"Germany","Population (thousands)","High variant","2005",82541
"Germany","Population (thousands)","Low variant","2005",82541
"Germany","Population (thousands)","Constant-fertility variant","2005",82541
"Germany","Population (thousands)","Medium variant","2010",82302
"Germany","Population (thousands)","High variant","2010",82302
"Germany","Population (thousands)","Low variant","2010",82302
"Germany","Population (thousands)","Constant-fertility variant","2010",82302
"Germany","Population (thousands)","Medium variant","2015",81471
"Germany","Population (thousands)","High variant","2015",82077
"Germany","Population (thousands)","Low variant","2015",80865
"Germany","Population (thousands)","Constant-fertility variant","2015",81221
"Germany","Population (thousands)","Medium variant","2020",80988
"Germany","Population (thousands)","High variant","2020",82533
"Germany","Population (thousands)","Low variant","2020",79442
"Germany","Population (thousands)","Constant-fertility variant","2020",80269
"Germany","Population (thousands)","Medium variant","2025",80332
"Germany","Population (thousands)","High variant","2025",82999
"Germany","Population (thousands)","Low variant","2025",77666
"Germany","Population (thousands)","Constant-fertility variant","2025",78985
"Germany","Population (thousands)","Medium variant","2030",79469
"Germany","Population (thousands)","High variant","2030",83195
"Germany","Population (thousands)","Low variant","2030",75744
"Germany","Population (thousands)","Constant-fertility variant","2030",77386
"Germany","Population (thousands)","Medium variant","2035",78445
"Germany","Population (thousands)","High variant","2035",83211
"Germany","Population (thousands)","Low variant","2035",73697
"Germany","Population (thousands)","Constant-fertility variant","2035",75544
"Germany","Population (thousands)","Medium variant","2040",77305
"Germany","Population (thousands)","High variant","2040",83239
"Germany","Population (thousands)","Low variant","2040",71474
"Germany","Population (thousands)","Constant-fertility variant","2040",73478
"Germany","Population (thousands)","Medium variant","2045",76067
"Germany","Population (thousands)","High variant","2045",83494
"Germany","Population (thousands)","Low variant","2045",68969
"Germany","Population (thousands)","Constant-fertility variant","2045",71146
"Germany","Population (thousands)","Medium variant","2050",74781
"Germany","Population (thousands)","High variant","2050",84084
"Germany","Population (thousands)","Low variant","2050",66186
"Germany","Population (thousands)","Constant-fertility variant","2050",68560
"Germany","Population (thousands)","Medium variant","2055",73502
"Germany","Population (thousands)","High variant","2055",84934
"Germany","Population (thousands)","Low variant","2055",63257
"Germany","Population (thousands)","Constant-fertility variant","2055",65801
"Germany","Population (thousands)","Medium variant","2060",72371
"Germany","Population (thousands)","High variant","2060",86021
"Germany","Population (thousands)","Low variant","2060",60427
"Germany","Population (thousands)","Constant-fertility variant","2060",63064
"Germany","Population (thousands)","Medium variant","2065",71496
"Germany","Population (thousands)","High variant","2065",87409
"Germany","Population (thousands)","Low variant","2065",57850
"Germany","Population (thousands)","Constant-fertility variant","2065",60491
"Germany","Population (thousands)","Medium variant","2070",70886
"Germany","Population (thousands)","High variant","2070",89203
"Germany","Population (thousands)","Low variant","2070",55504
"Germany","Population (thousands)","Constant-fertility variant","2070",58086
"Germany","Population (thousands)","Medium variant","2075",70482
"Germany","Population (thousands)","High variant","2075",91492
"Germany","Population (thousands)","Low variant","2075",53268
"Germany","Population (thousands)","Constant-fertility variant","2075",55761
"Germany","Population (thousands)","Medium variant","2080",70228
"Germany","Population (thousands)","High variant","2080",94291
"Germany","Population (thousands)","Low variant","2080",51054
"Germany","Population (thousands)","Constant-fertility variant","2080",53442
"Germany","Population (thousands)","Medium variant","2085",70123
"Germany","Population (thousands)","High variant","2085",97540
"Germany","Population (thousands)","Low variant","2085",48888
"Germany","Population (thousands)","Constant-fertility variant","2085",51142
"Germany","Population (thousands)","Medium variant","2090",70145
"Germany","Population (thousands)","High variant","2090",101085
"Germany","Population (thousands)","Low variant","2090",46815
"Germany","Population (thousands)","Constant-fertility variant","2090",48879
"Germany","Population (thousands)","Medium variant","2095",70258
"Germany","Population (thousands)","High variant","2095",104804
"Germany","Population (thousands)","Low variant","2095",44865
"Germany","Population (thousands)","Constant-fertility variant","2095",46663
"Germany","Population (thousands)","Medium variant","2100",70392
"Germany","Population (thousands)","High variant","2100",108629
"Germany","Population (thousands)","Low variant","2100",43006
"Germany","Population (thousands)","Constant-fertility variant","2100",44454
"World","Population (thousands)","Medium variant","1950",2532229
"World","Population (thousands)","High variant","1950",2532229
"World","Population (thousands)","Low variant","1950",2532229
"World","Population (thousands)","Constant-fertility variant","1950",2532229
"World","Population (thousands)","Medium variant","1955",2772882
"World","Population (thousands)","High variant","1955",2772882
"World","Population (thousands)","Low variant","1955",2772882
"World","Population (thousands)","Constant-fertility variant","1955",2772882
"World","Population (thousands)","Medium variant","1960",3038413
"World","Population (thousands)","High variant","1960",3038413
"World","Population (thousands)","Low variant","1960",3038413
"World","Population (thousands)","Constant-fertility variant","1960",3038413
"World","Population (thousands)","Medium variant","1965",3333007
"World","Population (thousands)","High variant","1965",3333007
"World","Population (thousands)","Low variant","1965",3333007
"World","Population (thousands)","Constant-fertility variant","1965",3333007
"World","Population (thousands)","Medium variant","1970",3696186
"World","Population (thousands)","High variant","1970",3696186
"World","Population (thousands)","Low variant","1970",3696186
"World","Population (thousands)","Constant-fertility variant","1970",3696186
"World","Population (thousands)","Medium variant","1975",4076419
"World","Population (thousands)","High variant","1975",4076419
"World","Population (thousands)","Low variant","1975",4076419
"World","Population (thousands)","Constant-fertility variant","1975",4076419
"World","Population (thousands)","Medium variant","1980",4453007
"World","Population (thousands)","High variant","1980",4453007
"World","Population (thousands)","Low variant","1980",4453007
"World","Population (thousands)","Constant-fertility variant","1980",4453007
"World","Population (thousands)","Medium variant","1985",4863290
"World","Population (thousands)","High variant","1985",4863290
"World","Population (thousands)","Low variant","1985",4863290
"World","Population (thousands)","Constant-fertility variant","1985",4863290
"World","Population (thousands)","Medium variant","1990",5306425
"World","Population (thousands)","High variant","1990",5306425
"World","Population (thousands)","Low variant","1990",5306425
"World","Population (thousands)","Constant-fertility variant","1990",5306425
"World","Population (thousands)","Medium variant","1995",5726239
"World","Population (thousands)","High variant","1995",5726239
"World","Population (thousands)","Low variant","1995",5726239
"World","Population (thousands)","Constant-fertility variant","1995",5726239
"World","Population (thousands)","Medium variant","2000",6122770
"World","Population (thousands)","High variant","2000",6122770
"World","Population (thousands)","Low variant","2000",6122770
"World","Population (thousands)","Constant-fertility variant","2000",6122770
"World","Population (thousands)","Medium variant","2005",6506649
"World","Population (thousands)","High variant","2005",6506649
"World","Population (thousands)","Low variant","2005",6506649
"World","Population (thousands)","Constant-fertility variant","2005",6506649
"World","Population (thousands)","Medium variant","2010",6895889
"World","Population (thousands)","High variant","2010",6895889
"World","Population (thousands)","Low variant","2010",6895889
"World","Population (thousands)","Constant-fertility variant","2010",6895889
"World","Population (thousands)","Medium variant","2015",7284296
"World","Population (thousands)","High variant","2015",7350953
"World","Population (thousands)","Low variant","2015",7217275
"World","Population (thousands)","Constant-fertility variant","2015",7323598
"World","Population (thousands)","Medium variant","2020",7656528
"World","Population (thousands)","High variant","2020",7832370
"World","Population (thousands)","Low variant","2020",7480225
"World","Population (thousands)","Constant-fertility variant","2020",7772757
"World","Population (thousands)","Medium variant","2025",8002978
"World","Population (thousands)","High variant","2025",8316521
"World","Population (thousands)","Low variant","2025",7689135
"World","Population (thousands)","Constant-fertility variant","2025",8231506
"World","Population (thousands)","Medium variant","2030",8321380
"World","Population (thousands)","High variant","2030",8776486
"World","Population (thousands)","Low variant","2030",7867332
"World","Population (thousands)","Constant-fertility variant","2030",8700336
"World","Population (thousands)","Medium variant","2035",8611867
"World","Population (thousands)","High variant","2035",9225306
"World","Population (thousands)","Low variant","2035",8006642
"World","Population (thousands)","Constant-fertility variant","2035",9191971
"World","Population (thousands)","Medium variant","2040",8874041
"World","Population (thousands)","High variant","2040",9679064
